residue_mod_4096,minimal_k,support_size,support_primes
519,11,0,[]
521,11,1,[37]
523,11,1,[7]
525,11,0,[]
527,11,0,[]
529,11,4,"[17, 19, 73, 191]"
531,11,1,[53]
533,11,2,"[7, 29]"
535,11,3,"[7, 31, 607]"
537,11,0,[]
539,11,1,[11]
541,10,0,[]
543,11,2,"[5, 7]"
545,11,1,[47]
547,11,1,[47]
549,11,2,"[7, 37]"
551,10,0,[]
553,11,2,"[5, 7]"
555,11,0,[]
557,11,2,"[5, 409]"
559,11,1,[19]
561,11,0,[]
563,11,3,"[13, 29, 61]"
565,11,2,"[107, 163]"
567,11,0,[]
569,11,2,"[11, 13]"
571,11,1,[11]
573,11,2,"[5, 7]"
575,11,1,[13]
577,11,2,"[7, 19]"
579,11,1,[179]
581,11,1,[137]
583,10,0,[]
585,11,1,[7]
587,11,3,"[479, 601, 1097]"
589,11,0,[]
591,11,0,[]
593,11,1,[103]
595,11,0,[]
597,11,1,[5]
599,11,2,"[7, 131]"
601,11,1,[5]
603,11,0,[]
605,11,2,"[61, 269]"
607,10,0,[]
609,11,0,[]
611,11,2,"[7, 269]"
613,11,1,[229]
615,11,2,"[5, 59]"
617,11,2,"[5, 7]"
619,11,0,[]
621,10,1,[19]
623,11,4,"[5, 11, 13, 109]"
625,10,0,[]
627,11,3,"[5, 7, 139]"
629,11,1,[419]
631,11,1,[7]
633,11,0,[]
635,11,1,[131]
637,11,2,"[7, 263]"
639,11,2,"[17, 461]"
641,11,3,"[23, 31, 409]"
643,11,3,"[13, 59, 733]"
645,11,3,"[83, 107, 227]"
647,11,1,[7]
649,11,1,[43]
651,11,1,[5]
653,11,1,[13]
655,11,3,"[11, 13, 1097]"
657,11,0,[]
659,11,0,[]
661,11,1,[137]
663,11,0,[]
665,11,0,[]
667,11,1,[17]
669,11,2,"[19, 439]"
671,11,1,[11]
673,11,2,"[5, 199]"
675,11,2,"[59, 191]"
677,11,2,"[5, 11]"
679,11,0,[]
681,11,0,[]
683,11,1,[491]
685,11,3,"[43, 137, 467]"
687,10,0,[]
689,11,1,[5]
691,11,1,[5]
693,10,0,[]
695,11,2,"[5, 17]"
697,11,1,[59]
699,11,3,"[7, 11, 13]"
701,11,2,"[53, 701]"
703,11,3,"[5, 53, 421]"
705,11,1,[67]
707,9,0,[]
709,10,0,[]
711,11,2,"[5, 181]"
713,11,1,[13]
715,11,2,"[5, 11]"
717,11,1,[23]
719,11,0,[]
721,11,1,[71]
723,11,0,[]
725,11,1,[7]
727,11,1,[41]
729,11,4,"[7, 19, 23, 29]"
731,11,1,[11]
733,11,0,[]
735,11,3,"[11, 29, 73]"
737,11,2,"[101, 271]"
739,11,3,"[7, 11, 911]"
741,11,2,"[11, 67]"
743,11,0,[]
745,11,3,"[17, 23, 29]"
747,11,1,[1051]
749,11,2,"[7, 29]"
751,11,5,"[7, 23, 31, 83, 4519]"
753,11,1,[5]
755,11,1,[59]
757,11,0,[]
759,11,2,"[5, 13]"
761,11,2,"[5, 13]"
763,11,0,[]
765,11,3,"[59, 199, 307]"
767,11,0,[]
769,11,2,"[5, 281]"
771,10,1,[5]
773,11,1,[5]
775,11,1,[293]
777,11,2,"[5, 53]"
779,11,1,[73]
781,11,1,[17]
783,11,1,[157]
785,11,1,[19]
787,11,2,"[5, 241]"
789,10,0,[]
791,11,3,"[7, 17, 59]"
793,11,2,"[53, 2423]"
795,11,0,[]
797,11,2,"[5, 47]"
799,11,0,[]
801,11,2,"[17, 89]"
803,11,1,[29]
805,11,1,[79]
807,11,1,[151]
809,11,1,[937]
811,11,1,[13]
813,11,1,[31]
815,10,0,[]
817,11,0,[]
819,11,2,"[11, 17]"
821,11,1,[13]
823,11,0,[]
825,11,2,"[53, 79]"
827,11,1,[7]
829,11,2,"[13, 733]"
831,11,1,[5]
833,11,2,"[7, 137]"
835,11,0,[]
837,11,0,[]
839,11,2,"[7, 101]"
841,11,4,"[5, 13, 19, 29]"
843,11,2,"[5, 41]"
845,11,1,[181]
847,11,2,"[7, 79]"
849,10,0,[]
851,11,3,"[59, 61, 433]"
853,11,1,[5]
855,10,0,[]
857,11,2,"[5, 17]"
859,11,2,"[5, 271]"
861,11,1,[7]
863,11,2,"[5, 43]"
865,11,0,[]
867,11,3,"[29, 157, 491]"
869,11,3,"[13, 31, 43]"
871,11,1,[5]
873,11,0,[]
875,11,2,"[5, 11]"
877,11,4,"[5, 19, 151, 1429]"
879,11,1,[13]
881,11,2,"[11, 29]"
883,11,0,[]
885,11,3,"[5, 23, 521]"
887,11,1,[7]
889,11,4,"[5, 53, 347, 421]"
891,11,4,"[7, 23, 41, 211]"
893,11,1,[11]
895,11,2,"[7, 11]"
897,11,0,[]
899,11,3,"[5, 71, 103]"
901,11,4,"[19, 29, 59, 227]"
903,11,1,[47]
905,11,1,[5]
907,11,0,[]
909,11,2,"[59, 139]"
911,11,1,[11]
913,11,0,[]
915,11,1,[733]
917,11,2,"[5, 13]"
919,11,3,"[19, 97, 103]"
921,11,1,[7]
923,11,1,[19]
925,11,1,[521]
927,11,1,[31]
929,11,3,"[17, 29, 41]"
931,11,3,"[5, 11, 157]"
933,11,1,[271]
935,10,0,[]
937,11,1,[7]
939,11,2,"[23, 79]"
941,11,0,[]
943,11,1,[127]
945,11,2,"[5, 139]"
947,11,2,"[5, 67]"
949,11,3,"[7, 17, 131]"
951,11,2,"[5, 13]"
953,10,0,[]
955,11,1,[37]
957,11,1,[7]
959,11,1,[7]
961,11,0,[]
963,11,0,[]
965,11,4,"[5, 11, 19, 269]"
967,11,2,"[11, 719]"
969,11,1,[31]
971,11,1,[29]
973,11,2,"[5, 67]"
975,10,0,[]
977,11,2,"[11, 43]"
979,11,1,[5]
981,11,1,[5]
983,11,1,[421]
985,11,0,[]
987,11,1,[5]
989,11,1,[17]
991,11,1,[5]
993,11,1,[7]
995,11,1,[29]
997,11,0,[]
999,11,1,[367]
1001,11,1,[5]
1003,11,1,[131]
1005,11,0,[]
1007,11,1,[5]
1009,11,3,"[7, 281, 3373]"
1011,11,2,"[5, 79]"
1013,11,1,[73]
1015,11,1,[13]
1017,10,0,[]
1019,11,3,"[5, 13, 71]"
1021,11,1,[5]
1023,11,0,[]
1025,10,0,[]
1027,11,1,[11]
1029,11,1,[41]
1031,11,0,[]
1033,11,1,[12101]
1035,11,0,[]
1037,11,2,"[11, 83]"
1039,11,0,[]
1041,11,2,"[7, 13]"
1043,11,1,[23]
1045,11,4,"[5, 7, 19, 43]"
1047,11,0,[]
1049,11,0,[]
1051,11,2,"[7, 17]"
1053,11,2,"[5, 127]"
1055,11,2,"[13, 307]"
1057,11,2,"[29, 1049]"
1059,10,0,[]
1061,11,0,[]
1063,11,1,[31]
1065,11,1,[103]
1067,11,1,[929]
1069,11,4,"[5, 23, 29, 79]"
1071,11,1,[23]
1073,10,0,[]
1075,11,1,[103]
1077,11,1,[17]
1079,11,1,[131]
1081,11,1,[59]
1083,11,2,"[5, 7]"
1085,11,2,"[5, 23]"
1087,11,1,[223]
1089,11,1,[181]
1091,11,1,[13]
1093,11,2,"[7, 13]"
1095,11,2,"[23, 197]"
1097,11,0,[]
1099,11,2,"[19, 31]"
1101,11,1,[19]
1103,11,0,[]
1105,11,3,"[23, 71, 181]"
1107,11,1,[7]
1109,11,1,[433]
1111,11,3,"[29, 283, 1097]"
1113,10,0,[]
1115,11,1,[7]
1117,11,0,[]
1119,11,2,"[11, 31]"
1121,11,1,[137]
1123,11,0,[]
1125,11,2,"[7, 37]"
1127,11,3,"[5, 607, 23209]"
1129,11,2,"[37, 101]"
1131,11,2,"[19, 43]"
1133,11,3,"[13, 311, 487]"
1135,11,2,"[31, 71]"
1137,11,2,"[53, 73]"
1139,11,0,[]
1141,11,2,"[43, 79]"
1143,11,1,[9439]
1145,11,2,"[17, 41]"
1147,11,1,[23]
1149,11,0,[]
1151,10,0,[]
1153,11,2,"[41, 149]"
1155,11,4,"[5, 7, 13, 6551]"
1157,11,1,[13]
1159,11,6,"[7, 17, 19, 23, 353, 397]"
1161,11,3,"[7, 61, 401]"
1163,11,1,[7]
1165,11,0,[]
1167,11,0,[]
1169,11,2,"[11, 43]"
1171,11,2,"[7, 79]"
1173,11,0,[]
1175,11,1,[7]
1177,11,1,[5]
1179,11,0,[]
1181,11,1,[11]
1183,11,2,"[5, 263]"
1185,10,0,[]
1187,10,1,[5]
1189,11,1,[89]
1191,11,1,[337]
1193,11,3,"[5, 23, 97]"
1195,11,1,[5]
1197,11,2,"[17, 811]"
1199,11,1,[29]
1201,11,2,"[17, 79]"
1203,11,3,"[23, 263, 3019]"
1205,11,3,"[13, 17, 149]"
1207,11,1,[101]
1209,11,1,[101]
1211,11,4,"[43, 61, 103, 647]"
1213,11,1,[61]
1215,11,2,"[13, 43]"
1217,11,1,[37]
1219,9,0,[]
1221,11,2,"[13, 1553]"
1223,10,0,[]
1225,11,4,"[13, 37, 389, 401]"
1227,10,0,[]
1229,11,1,[7]
1231,11,2,"[43, 271]"
1233,11,3,"[5, 11, 37]"
1235,11,4,"[7, 11, 83, 233]"
1237,11,2,"[5, 23]"
1239,11,2,"[7, 11]"
1241,11,0,[]
1243,11,3,"[13, 193, 4583]"
1245,11,2,"[19, 131]"
1247,11,1,[23]
1249,11,1,[5]
1251,11,0,[]
1253,10,0,[]
1255,11,0,[]
1257,11,0,[]
1259,10,1,[5]
1261,11,3,"[11, 17, 107]"
1263,11,1,[13]
1265,11,2,"[31, 149]"
1267,11,3,"[5, 103, 16369]"
1269,10,0,[]
1271,11,3,"[19, 157, 313]"
1273,11,1,[191]
1275,11,2,"[5, 7]"
1277,11,1,[577]
1279,11,2,"[41, 619]"
1281,11,2,"[11, 13]"
1283,11,2,"[11, 607]"
1285,11,1,[101]
1287,11,2,"[13, 311]"
1289,11,2,"[7, 14947]"
1291,11,4,"[7, 79, 179, 239]"
1293,11,2,"[7, 17]"
1295,11,1,[29]
1297,11,2,"[11, 13]"
1299,11,2,"[53, 1097]"
1301,11,2,"[67, 83]"
1303,11,2,"[5, 31]"
1305,11,1,[7]
1307,11,1,[13]
1309,11,3,"[5, 197, 379]"
1311,11,1,[5]
1313,11,2,"[17, 59]"
1315,11,1,[167]
1317,10,0,[]
1319,11,0,[]
1321,11,2,"[11, 353]"
1323,11,1,[59]
1325,11,4,"[5, 23, 29, 67]"
1327,11,2,"[13, 41]"
1329,11,0,[]
1331,11,1,[677]
1333,11,0,[]
1335,11,3,"[43, 601, 15667]"
1337,11,1,[149]
1339,11,0,[]
1341,11,1,[139]
1343,11,2,"[5, 29]"
1345,11,1,[31]
1347,11,0,[]
1349,11,2,"[31, 67]"
1351,11,1,[151]
1353,11,0,[]
1355,11,3,"[7, 17, 67]"
1357,10,1,[5]
1359,11,3,"[11, 79, 211]"
1361,11,2,"[7, 271]"
1363,11,0,[]
1365,11,2,"[17, 241]"
1367,11,1,[7]
1369,11,1,[79]
1371,11,3,"[5, 11, 167]"
1373,11,1,[13]
1375,11,2,"[5, 73]"
1377,11,2,"[7, 61]"
1379,11,0,[]
1381,11,1,[7]
1383,11,2,"[5, 17]"
1385,11,2,"[7, 11]"
1387,11,3,"[5, 23, 139]"
1389,11,1,[593]
1391,11,3,"[67, 367, 467]"
1393,11,0,[]
1395,11,0,[]
1397,10,0,[]
1399,11,1,[163]
1401,11,2,"[11, 503]"
1403,11,1,[71]
1405,11,1,[5]
1407,11,2,"[5, 7]"
1409,10,0,[]
1411,11,2,"[11, 13]"
1413,11,1,[5]
1415,11,0,[]
1417,11,3,"[7, 11, 37]"
1419,11,3,"[5, 421, 4519]"
1421,11,2,"[11, 13]"
1423,11,2,"[17, 97]"
1425,10,0,[]
1427,11,2,"[191, 613]"
1429,10,0,[]
1431,11,1,[5]
1433,11,2,"[7, 43]"
1435,11,1,[41]
1437,11,3,"[7, 23, 97]"
1439,11,0,[]
1441,11,0,[]
1443,11,0,[]
1445,11,1,[7]
1447,11,3,"[11, 29, 97]"
1449,11,2,"[17, 61]"
1451,11,0,[]
1453,11,2,"[11, 151]"
1455,11,1,[271]
1457,11,0,[]
1459,11,2,"[7, 17]"
1461,11,0,[]
1463,11,1,[7]
1465,11,1,[29]
1467,11,1,[53]
1469,11,1,[31]
